"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"AFG","Afghanistan",0.154076914078849,0.154076914078849,0.153212890674666,0.152348867270485,0.151349863280377,0.150350859290266,0.185095276360343,0.21983969343042,0.191740599059508,0.175000422455192,0.214252826061171,0.188168883968539,0.154754031822113,0.106931940089784,0.103480932341381,0.126235230269251,0.139497370195925,0.153861543961343,0.136523080572786,0.155150565491137,0.127599432417096,0.1104253574176,0.0880563550303586,0.09445921716018,0.113095725393297,0.104580505276097,0.134715710624592
"ALB","Albania",0.512016343150755,0.512016343150755,0.494178667436055,0.476340991721355,0.476686307825297,0.47703162392924,0.497870472080141,0.518709320231043,0.516634460268786,0.496424511522855,0.483042617853924,0.482507719855935,0.534836160084924,0.564678787976774,0.562160342693601,0.536985111202511,0.521348214269601,0.545216955657463,0.585740499505686,0.653529896128522,0.629470314196742,0.629214954388784,0.635034736070504,0.63366553008447,0.589050151388664,0.584987443647349,0.588753781640458
"DZA","Algeria",0.263143544860065,0.263143544860065,0.254921028769445,0.246698512678823,0.28508928200828,0.323480051337739,0.306106109916113,0.288732168494489,0.268115452820285,0.336105124734202,0.412748196526483,0.376149324211146,0.371991011630068,0.381407783937876,0.364021230383108,0.353277272025542,0.33586906251533,0.341979097573369,0.363082292958812,0.365118485966531,0.382386034304018,0.381118873805006,0.412381234720862,0.426088480409809,0.39026794076965,0.425377268891991,0.419147869734834
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",0.215214916490862,0.215214916490862,0.193182975925305,0.171151035359746,0.195225259670492,0.219299483981237,0.259037823848819,0.298776163716398,0.396625604295491,0.387037573574878,0.417648922837698,0.477123856561451,0.455240769928278,0.507687689869,0.51012974234663,0.531015778332265,0.506405994655573,0.502950823877856,0.502622088114801,0.512600054205513,0.48375657738124,0.515581880347237,0.504477332900105,0.512176912011689,0.508248919540087,0.48139686777776,0.447640934333073
"ATG","Antigua and Barbuda",0.693284344663718,0.693284344663718,0.69426793211547,0.695251519567222,0.693937473719596,0.692623427871969,0.699446545760264,0.706269663648559,0.718850225443418,0.756515345951428,0.712798636856041,0.707518736502967,0.708008928077783,0.709939384242438,0.694095745736771,0.725612584636642,0.734659431800228,0.737790337457207,0.734878790633012,0.739297774473239,0.74276826437853,0.721072350004208,0.698611781479597,0.71457816782742,0.73396562092464,0.731748982129079,0.734309152873163
"ARG","Argentina",0.589085976768082,0.589085976768082,0.567924051651668,0.546762126535255,0.566586262566196,0.586410398597137,0.511373703057435,0.436337007517734,0.508023018804096,0.46482692420957,0.562739320353268,0.570264363251247,0.586749771361508,0.554829268579538,0.529523896280442,0.555338101502366,0.597277475214185,0.587651879818963,0.581161840163955,0.569044735890576,0.572469373594362,0.60512750528233,0.599085609068005,0.571799489242701,0.554194734729721,0.556298775630521,0.551627632439292
"ARM","Armenia",0.507135263056695,0.507135263056695,0.481521017822523,0.455906772588351,0.454179540954447,0.452452309320543,0.489187851529887,0.52592339373923,0.610691070966566,0.549912351570573,0.558514194227835,0.525022020989543,0.595886128782225,0.568746925648353,0.609125105449738,0.58228709750274,0.558938489970422,0.596555176811033,0.588915368187746,0.518809678973429,0.526517153485436,0.455996831422004,0.463134796346247,0.493388453208617,0.498804595360933,0.439036168070558,0.426179195484536
"AUS","Australia",0.810098639595847,0.810098639595847,0.781747169263111,0.753395698930376,0.776401521757427,0.799407344584476,0.786973893581651,0.774540442578825,0.720988053787487,0.730853325854373,0.723326015151622,0.730681821351164,0.729719884727974,0.73416258553077,0.717031955741133,0.722836110682276,0.730895735433786,0.741610972990594,0.747300982999911,0.74749348721749,0.722168631479786,0.750205711069196,0.724074888754833,0.740167088821081,0.726773157229947,0.716296309497072,0.716321144120219
"AUT","Austria",0.812567295471394,0.812567295471394,0.786774693654362,0.760982091837329,0.73616301339995,0.711343934962572,0.75752520868056,0.803706482398548,0.735418805260625,0.757377831290591,0.759837997047243,0.754763264313726,0.790884065006585,0.800320114395944,0.774791495804734,0.768215529584085,0.775246968125223,0.800543113315936,0.804591608054768,0.788524017028799,0.766569389864783,0.726410696827944,0.750012099444804,0.725154066947418,0.727633684099656,0.726956145951952,0.72731425875684
"AZE","Azerbaijan",0.427325382043046,0.427325382043046,0.43821839428145,0.449111406519854,0.438143972442141,0.427176538364427,0.396592228284614,0.366007918204799,0.40682446215712,0.387606903721724,0.376423550949983,0.381952074386239,0.462235899881237,0.513095854590759,0.522126803288949,0.528888703626109,0.478382680748069,0.446795306186499,0.498901698532366,0.473604804816678,0.444418934211996,0.4316348043852,0.44126144053775,0.448342199697112,0.451928567420814,0.425582385242713,0.423102255402136
"BHS","Bahamas",0.754172667854572,0.754172667854572,0.755575383150452,0.756978098446333,0.773510687542132,0.790043276637932,0.762175338058488,0.734307399479043,0.712082185663397,0.723137817516092,0.731314345462692,0.709347926466875,0.695528566091925,0.703168483661484,0.717799183586886,0.740870384430943,0.759781478284737,0.773613440539062,0.76514934570304,0.734467081389151,0.726038720930366,0.737726805118221,0.740163899899611,0.718369405811441,0.710342941741706,0.715377838591273,0.720747602956432
"BHR","Bahrain",0.516972039905692,0.516972039905692,0.529483568215685,0.541995096525679,0.560800266405166,0.579605436284652,0.599781368159282,0.619957300033911,0.65317426986208,0.623840386133889,0.572362260823968,0.507126316645177,0.527301456416323,0.529091817928867,0.546316595241662,0.485033273883361,0.406352840153948,0.375540086403981,0.340194388449763,0.413813255282207,0.385245092096052,0.433433099749792,0.404508372077533,0.423622777619095,0.462001406488682,0.463638748476085,0.483031851398802
"BGD","Bangladesh",0.475513348681718,0.475513348681718,0.490829879488709,0.5061464102957,0.475566891288416,0.444987372281132,0.418638524123668,0.392289675966204,0.378012802771175,0.33588356134156,0.24929019324823,0.310660402462808,0.304471762028612,0.310448128982872,0.303835290216873,0.324647770806492,0.328269442249227,0.332681638095845,0.28988584030275,0.415862419304906,0.361422823342692,0.352835293662138,0.353842705741009,0.398639638913193,0.409426427254611,0.411232874363795,0.40302914317392
"BRB","Barbados",0.750620947608829,0.750620947608829,0.753536339595568,0.756451731582307,0.762209047316786,0.767966363051265,0.76332149898258,0.758676634913895,0.728012263423042,0.758186976534952,0.761380901842578,0.72702537938527,0.749560318480356,0.753715165288259,0.750168325835506,0.752386810309088,0.78429718877808,0.773947118617707,0.787875240696922,0.78976597376906,0.765241670619153,0.737931716393607,0.736248888696756,0.727063328576132,0.750424095794135,0.76404692222116,0.762981309762029
"BLR","Belarus",0.58605177310391,0.58605177310391,0.587405333123555,0.5887588931432,0.591341633068833,0.593924372994466,0.607970914544533,0.622017456094601,0.689147554739119,0.597754549657844,0.63189627851429,0.595467039389722,0.628589474615037,0.6596227868885,0.654108177813769,0.553584735580374,0.554826976862662,0.58172970274043,0.570951003018852,0.600853712216305,0.588851953767078,0.59440248306857,0.560725121675298,0.62980200304463,0.627106636385516,0.415800260970669,0.443207872071052
"BEL","Belgium",0.791585976357931,0.791585976357931,0.768846269540193,0.746106562722455,0.755196721796933,0.764286880871409,0.775554068440366,0.786821256009322,0.717568207236337,0.691918399375521,0.706478553385457,0.717247889815811,0.700208221191304,0.676682501627068,0.711132040872007,0.709381035879817,0.73413425437315,0.7288123956064,0.731647962018735,0.690564994444099,0.670923535036137,0.645854116009641,0.643586510866286,0.639142005400536,0.651429637585945,0.663418751859008,0.675303431517388
"BLZ","Belize",0.666116599929684,0.666116599929684,0.669340250907212,0.672563901884741,0.637090589394308,0.601617276903874,0.621725122485346,0.641832968066817,0.653546379058625,0.639006409588601,0.587973781446457,0.584028331936907,0.603458143344707,0.602623868681403,0.574816688156169,0.582041500562481,0.596058679169645,0.600935506513931,0.600235627971849,0.578283579630179,0.577339912015093,0.580354655311632,0.576071735111449,0.570472853812208,0.580770403898745,0.658984418129906,0.649182832208509
"BEN","Benin",0.750620947608829,0.750620947608829,0.724120405225582,0.697619862842334,0.702554836734604,0.707489810626873,0.709370377089246,0.711250943551619,0.686783159164218,0.615681176799384,0.647295549528893,0.664179622369355,0.636366736263767,0.634681488677955,0.639368490601233,0.614870339683505,0.62469258694497,0.632607884802129,0.621739353431919,0.574594693784892,0.567601048064675,0.569577116148228,0.575240798690094,0.545639451863979,0.49893472078829,0.496726423432006,0.518086347503273
"BTN","Bhutan",0.69447609896181,0.69447609896181,0.678617336150139,0.662758573338467,0.658656061756223,0.654553550173978,0.671906086857444,0.68925862354091,0.728012263423042,0.771553274224606,0.79089577480825,0.787460619383295,0.667729271354208,0.693902359695248,0.708151106807992,0.697609988464923,0.712107563736184,0.703474107434211,0.704904600184305,0.753660164083237,0.737605738893817,0.763166205684656,0.762105330465779,0.758110155314215,0.756078432948815,0.746029105768179,0.737333603923403
"BOL","Bolivia, Plurinational State of",0.546741701031824,0.546741701031824,0.537596256210296,0.528450811388768,0.528797554048015,0.529144296707261,0.524890485669254,0.520636674631246,0.42630083591988,0.452847479238583,0.402879909852164,0.43186121780953,0.423344418612244,0.450095870668665,0.482859834207255,0.498463488428255,0.498167718525407,0.49112454967507,0.513398033097847,0.512620689911163,0.523738085328074,0.527113453602361,0.522096657214608,0.520532947526472,0.44432945984305,0.490825739530371,0.515122824335257
"BIH","Bosnia and Herzegovina",0.467666633143685,0.467666633143685,0.468355814443571,0.469044995743456,0.47403576038079,0.479026525018125,0.510383751220813,0.541740977423502,0.500136252053009,0.572905299511707,0.483803611409473,0.494002838406706,0.461303463345081,0.477089393651294,0.455368839475394,0.450583683369588,0.42889681281757,0.477348311516326,0.500263450029949,0.566626485529843,0.500694749095249,0.501485770806821,0.510018704306139,0.501870968936665,0.49788768815457,0.493665556129037,0.504454390096928
"BWA","Botswana",0.744578136245819,0.744578136245819,0.739438415138432,0.734298694031045,0.744522519814789,0.754746345598534,0.737449789354819,0.720153233111103,0.7600078814553,0.727623502109241,0.752891869845739,0.74489891508585,0.751613102082729,0.747650656954737,0.73401827401707,0.740443335551975,0.75304223108184,0.759853726325488,0.759562232243387,0.743993569001535,0.74919655584997,0.741019669021533,0.745827619250897,0.736964560603125,0.761060287062814,0.746452750396575,0.73823585337015
"BRA","Brazil",0.532000168141268,0.532000168141268,0.521760475935148,0.511520783729027,0.556558786803435,0.601596789877842,0.613957004633144,0.626317219388446,0.570650771365625,0.52244690025349,0.524616720349921,0.519192390564828,0.508348160621893,0.516007503952622,0.598080950125514,0.57224410602847,0.547118944802087,0.577832615121911,0.525447013988271,0.557833861928683,0.512905226812501,0.505035327507772,0.488407081021656,0.494159951748234,0.44713310627939,0.4956967965674,0.486490262366822
"BRN","Brunei Darussalam",0.782734104569718,0.782734104569718,0.771947388004669,0.761160671439617,0.777536572725211,0.793912474010803,0.781312060923453,0.768711647836103,0.76680104296394,0.80550923815169,0.778539309086429,0.763176254376103,0.760381077551125,0.763565712946045,0.80855278171568,0.789701826204066,0.756611362223581,0.72635710038897,0.754689539730557,0.786942476040229,0.78370062462666,0.768477677385654,0.769532789987599,0.78347653880739,0.760672161482553,0.773325227662332,0.770967271452973
