"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"AFG","Afghanistan",13.73297024,13.73297024,13.73297024,13.73297024,13.73297024,13.73297024,13.73297024,13.73297024,6.65036392,9.9371376,15.71056557,18.48848534,16.17664719,18.47561455,21.8033886,15.52872467,21.13860512,21.17189598,22.91737556,21.98381996,16.44546318,18.94781685,19.42013359,19.73445702,19.83023643,16.13204002,19.34802574
"ALB","Albania",1.65561604,1.65561604,1.65561604,1.65561604,1.65561604,1.65561604,4.40930462,3.44509053,9.32095146,6.36698723,5.86389732,6.40837002,6.0422945,2.54499149,1.66314065,1.91160977,0.86638451,0.8567183,1.06783342,0.61583549,0.70142412,0.88365322,1.57669628,1.05872059,1.05872059,1.05872059,1.05872059
"DZA","Algeria",0.052187,0.052187,0.052187,0.052187,0.052187,0.052187,0.04628069,0.04450536,0.05022801,0.04680432,0.07937498,0.05232034,0.06622829,0.03665671,0.05150365,0.02814943,0.01970796,0.03197956,0.01982955,0.03547188,0.0268308,0.02010599,0.02891926,0.02693869,0.04457502,0.03990048,0.03990048
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",0.51365387,0.51365387,0.51365387,0.51365387,0.51365387,0.51365387,1.43060005,1.27742219,1.03922689,1.92934799,3.03782797,5.85645962,2.69763899,2.4888041,3.82744431,3.24644613,2.8612268,2.17543125,2.56596041,3.17014694,2.67032242,3.64164376,3.11478901,3.40596294,3.19404149,4.16354322,4.16354322
"ATG","Antigua and Barbuda",0.34878898,0.34878898,0.34878898,0.34878898,0.34878898,0.34878898,0.07303306,0.13711631,0,0.04309067,0.15506251,0.13964188,0.14269018,0.18763787,0.02764631,0.12729101,0.05339933,0,0.23532581,0,0,0.01355033,0.02284085,0.09705941,0.04647173,0.14311191,0.14311191
"ARG","Argentina",0.03062808,0.03062808,0.03062808,0.03062808,0.03062808,0.03062808,0.2007374,1.96734297,0.34346449,6.29007864,1.18307579,0.32621667,0.22942123,0.92570257,0.28787005,0.31598705,0.58026612,0.52099103,0.44593182,0.52839446,0.28386176,0.30856231,0.4337922,0.30367181,0.24146576,0.28700885,0.28700885
"ARM","Armenia",12.77933121,12.77933121,12.77933121,12.77933121,12.77933121,12.77933121,18.01124001,7.93093824,5.22895432,5.45582008,11.67522335,11.57289124,12.21758938,5.88885784,4.58921719,3.72884226,3.15005541,2.960572,2.07229877,1.52948999,1.08290088,1.8710475,1.2871294,1.216784,0.99527276,1.10338724,1.10338724
"AUS","Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
