"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"AFG","Afghanistan",0.977596416586335,0.977596416586335,0.977596416586335,0.977596416586335,0.977596416586335,0.977596416586335,0.974700838594177,0.974700838594177,0.974700838594177,0.974700838594177,0.974700838594177,0.980944994890157,0.978397321137357,0.978339337097464,0.97294319738492,0.972077060789018,0.971522588407541,0.971899484666845,0.983318716523277,0.98651508672238,0.987638527495307,0.987221767208576,0.987584167457907,0.975759047322225,0.978806833419101,0.977310120389363,0.977310120389363
"AGO","Angola",0.96732236951779,0.96732236951779,0.96732236951779,0.96732236951779,0.96732236951779,0.96732236951779,0.96732236951779,0.96732236951779,0.96732236951779,0.964713087722604,0.964713087722604,0.964713087722604,0.964713087722604,0.964713087722604,0.950282309794229,0.950282309794229,0.950282309794229,0.950282309794229,0.950282309794229,0.950282309794229,0.950282309794229,0.950282309794229,0.947263515717299,0.980151338344121,0.980151338344121,0.980151338344121,0.980151338344121
"ALB","Albania",0.786575245163769,0.785585892483094,0.785353956323522,0.803981329139154,0.804550297530605,0.807010995223565,0.816328305633874,0.827327153201081,0.829066674397872,0.82952329871203,0.828762258188434,0.808967956569954,0.807116091295871,0.807116091295871,0.806286194724902,0.812305662866296,0.807058107255978,0.796559372032848,0.800944415049758,0.800944415049758,0.800944415049758,0.826334176517913,0.826334176517913,0.826334176517913,0.758594321912893,0.750320724220658,0.750320724220658
"AND","Andorra",0.83253122078148,0.83253122078148,0.815556393102798,0.805362074089107,0.796287571845849,0.789336735063674,0.793203545724039,0.784197899528155,0.775431437496829,0.783712283194051,0.763370757199081,0.77763120701027,0.77086157035276,0.77086157035276,0.755213127586632,0.755213127586632,0.755213127586632,0.755213127586632,0.755213127586632,0.755213127586632,0.736451666678747,0.736451666678747,0.736451666678747,0.736451666678747,0.736451666678747,0.736451666678747,0.736451666678747
"ARE","United Arab Emirates",0.807619827642441,0.808217788053838,0.808703404387942,0.779091680015076,0.80544180214396,0.814135784125419,0.796066507693757,0.79247149722039,0.784107299465822,0.811722198464872,0.838898593162232,0.853014082873689,0.843743884495793,0.84109473867318,0.84169632308707,0.855090636302358,0.847106958809588,0.840080017975052,0.818520827142329,0.78689415738318,0.74196739847357,0.716302212815922,0.708459871420392,0.703516732019512,0.700171777718183,0.700171777718183,0.700171777718183
"ARG","Argentina",0.864201378570548,0.864201378570548,0.864201378570548,0.864201378570548,0.864201378570548,0.864201378570548,0.868825605752017,0.868825605752017,0.868825605752017,0.869633758308026,0.869633758308026,0.869633758308026,0.869633758308026,0.869633758308026,0.869633758308026,0.869633758308026,0.869633758308026,0.869633758308026,0.706057157767325,0.706057157767325,0.704190796483268,0.76409193369525,0.763863621538172,0.763863621538172,0.761022403583414,0.761344939805319,0.761344939805319
"ARM","Armenia",0.780236864802963,0.781088505388892,0.781421913618277,0.780707985127094,0.779990432633418,0.707224086570172,0.710195768614689,0.723887250034428,0.734697649471983,0.737350419297088,0.72896447752756,0.723575585820003,0.719484087005052,0.714881603838543,0.714646043676478,0.709800752342918,0.706720350223601,0.706028165747378,0.708985351781922,0.711014793178178,0.717545245671129,0.717545245671129,0.717545245671129,0.717545245671129,0.717545245671129,0.717545245671129,0.717545245671129
"ATG","Antigua and Barbuda",0.862095833121933,0.848288383622408,0.848288383622408,0.848288383622408,0.883818104066856,0.883818104066856,0.883818104066856,0.883818104066856,0.883818104066856,0.883818104066856,0.883818104066856,0.883818104066856,0.821043132877675,0.864074538483282,0.864074538483282,0.864074538483282,0.864074538483282,0.864074538483282,0.816835665982938,0.813729895846168,0.820191492291747,0.820977900832796,0.739419724720771,0.738687676217121,0.573204850364937,0.573204850364937,0.573204850364937
"AUS","Australia",0.519884901680812,0.500362400249331,0.537515673810784,0.541958700867586,0.544752806789931,0.5467206401438,0.525436873500569,0.54737658459509,0.545071719009343,0.533293710906073,0.548144873123673,0.54617341576731,0.525973225869579,0.521830991019722,0.500456624314157,0.504569867144069,0.491682914277845,0.516003595010473,0.448463060542586,0.439428422326755,0.434061274634157,0.423830715595532,0.414549645210156,0.402072204625677,0.386989106248505,0.376881763294653,0.376881763294653
"AUT","Austria",0.691187875537258,0.684798759141546,0.677652226224732,0.669998332958853,0.664565953221376,0.656821459893164,0.651026679906356,0.64474265958295,0.64150642535642,0.629188440881647,0.621632395683088,0.61090534830288,0.605302640448217,0.597529155100059,0.590284774115925,0.585091578543006,0.58061231146127,0.578133493755844,0.573288202422283,0.56719263022853,0.563543259717763,0.562659003109394,0.558386304169777,0.556904087150012,0.554657205604157,0.553936029107988,0.553936029107988
